Modèle,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s)
Naive Bayes (MultinomialNB),0.9659192825112107,0.8992805755395683,0.8389261744966443,0.8680555555555556,0.9781844456487002,0.006221294403076172
Logistic Regression,0.9704035874439462,0.8580246913580247,0.9328859060402684,0.8938906752411575,0.9870218294496089,0.8607826232910156
Random Forest,0.9739910313901345,0.8947368421052632,0.912751677852349,0.9036544850498339,0.9847152166965415,0.27842211723327637
